,Unnamed: 0,License_Number,X,City,City.1,County,DateCreated,License.,Mail.Suite.Rm,MailAddress,MailCity,MailState,MailSuite.Rm,MailZipCode,OwnerName,PrivDesc,PrivilegeStatus,ReasonAction,State,State.1,StatusDate,StreetAddress,Suite.Rm,Tradename,UBI,ZipCode,ZipCode.1,type:medical,type:processor,type:producer,type:retailer,Group.1,Total_Sales,Excise_Tax_Due,tax_rate,violation_count,violator,log_Total_Sales,log_Excise_Tax_Due,age,months_old
1,2,59974,2035,SHELTON                 ,SHELTON                 ,MASON,20150903.0,59974,                         ,2278 E BROCKDALE RD           ,,,,,I502 GARDENS LLC,MARIJUANA PRODUCER TIER 1          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,2278 E BROCKDALE RD           ,                         ,I502 GARDENS LLC                             ,6.03531e+15,985846411.0,985846411.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,4.83333333333,4.83333333333
2,3,59974,1494,SHELTON                 ,SHELTON                 ,MASON,20150903.0,59974,                         ,2278 E BROCKDALE RD           ,,,,,I502 GARDENS LLC,MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,2278 E BROCKDALE RD           ,                         ,I502 GARDENS LLC                             ,6.03531e+15,985846411.0,985846411.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,4.83333333333,4.83333333333
3,4,59978,1019,OROVILLE                ,SILVERLAKE              ,OKANOGAN,20150904.0,59978,                         ,108 STOUT RD                  ,,,,,"URBAN FARMS OF WASHINGTON, LLC",MARIJUANA PRODUCER TIER 2          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,24 THAYER SOUTH RD            ,                         ,"URBAN FARMS OF WASHINGTON, LLC               ",6.03307e+15,988449224.0,986459726.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,4.8,4.8
4,5,59978,725,OROVILLE                ,SILVERLAKE              ,OKANOGAN,20150904.0,59978,                         ,108 STOUT RD                  ,,,,,"URBAN FARMS OF WASHINGTON, LLC",MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,24 THAYER SOUTH RD            ,                         ,"URBAN FARMS OF WASHINGTON, LLC               ",6.03307e+15,988449224.0,986459726.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,4.8,4.8
6,7,70283,435,SEATTLE                 ,TULSA                   ,KING,20140101.0,70283,                         ,9717 E 42ND ST STE 101        ,,,,,PALM BEACH VAPORS WA LLC,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,OK,,4535 UNIVERSITY WAY NE        ,                         ,PALM BEACH VAPORS                            ,6.03359e+15,981054510.0,741463613.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.1666666667,25.1666666667
7,8,72437,1084,SEATTLE                 ,SEATTLE                 ,KING,20150806.0,72437,                         ,9616 16TH AVE SW              ,,,,,"OSK ENTERPRISES, INC.",MARIJUANA RETAILER                 ,PENDING (ISSUED),PENDING        ,WA,WA,,9640 16TH AVE SW STE A        ,                         ,BUD NATION                                   ,6.03029e+15,981062827.0,981062827.0,0,0,0,1,72437.0,522230,189634.0,2.100003621,0,False,13.16586338,12.15285118,5.76666666667,5.76666666667
8,9,74433,1112,EAST WENATCHEE          ,SHORELINE               ,DOUGLAS,20131221.0,74433,                         ,619 NW 162ND ST               ,,,,,"SE YEE, INC",MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,44 ROCK ISLAND RD STE 4       ,                         ,CANABIS ROCK ISLAND RD E-WENATCHEE           ,6.03319e+15,988025382.0,981773729.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.5333333333,25.5333333333
12,13,80801,321,LYNDEN                  ,BELLINGHAM              ,WHATCOM,20131224.0,80801,                         ,55 DEER RUN LN                ,,,,,"BARTHEL,  NICHOLAS  DYLAN LEE",MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,1770 FRONT ST                 ,                         ,MR. GREEN                                    ,6.0336e+15,982462103.0,982297610.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.4333333333,25.4333333333
14,15,81896,1444,NORTH BEND              ,SAMMAMISH               ,KING,20131221.0,81896,                         ,24139 SE 20TH ST              ,,,,,"GREENSMITH, LLC",MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,301 W NORTH BEND WAY STE 104  ,                         ,GREEN FOR ALL                                ,6.02804e+15,980458163.0,980756066.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.5333333333,25.5333333333
16,17,82914,1317,SPOKANE                 ,SEATTLE                 ,SPOKANE,20140101.0,82914,                         ,901 6TH AVE #109              ,,,,,,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,1312 N DIVISION ST            ,                         ,EVERGREEN HAZE                               ,6.03357e+15,992021809.0,981041161.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.1666666667,25.1666666667
