,Unnamed: 0,License_Number,X,City,City.1,County,DateCreated,License.,Mail.Suite.Rm,MailAddress,MailCity,MailState,MailSuite.Rm,MailZipCode,OwnerName,PrivDesc,PrivilegeStatus,ReasonAction,State,State.1,StatusDate,StreetAddress,Suite.Rm,Tradename,UBI,ZipCode,ZipCode.1,type:medical,type:processor,type:producer,type:retailer,Group.1,Total_Sales,Excise_Tax_Due,tax_rate,violation_count,violator,log_Total_Sales,log_Excise_Tax_Due
0,1,51124,89,TACOMA                  ,,PIERCE,,51124,,7604 SOUTH TACOMA WAY STE B   ,TACOMA                  ,WA,                         ,984093808.0,C & M MANAGEMENT SERVICES LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151103.0,7604 SOUTH TACOMA WAY STE B1  ,                         ,C & M MANAGEMENT SERVICES LLC                ,6.03228e+15,984093808.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
5,6,70201,432,TACOMA                  ,,PIERCE,,70201,,6532 PACIFIC AVE REAR         ,TACOMA                  ,WA,                         ,984087322.0,MANDARIN PALACE TCC LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151021.0,6532 PACIFIC AVE REAR         ,                         ,MANDARIN PALACE TCC                          ,6.03537e+15,984087322.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
9,10,76458,577,TACOMA                  ,,PIERCE,,76458,,PO BOX 1429                   ,LAKE STEVENS            ,WA,                         ,982581429.0,SMP RETAIL LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151016.0,2409 PACIFIC AVE              ,                         ,SMP RETAIL                                   ,6.03349e+15,984022910.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
10,11,76648,653,RENTON                  ,,KING,,76648,,5260 UNIVERSITY WAY NE        ,SEATTLE                 ,WA,                         ,981053519.0,S.A.W.D.,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151017.0,151 SUNSET BLVD N             ,                         ,THE JOINT                                    ,6.03185e+15,980575501.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
11,12,77677,116,KIRKLAND                ,,KING,,77677,,1414 127TH PL NE STE 107      ,BELLEVUE                ,WA,                         ,980052260.0,CANNABUS EMPORIUM LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151014.0,11200 KIRKLAND WAY            ,                         ,CANNABUS EMPORIUM LLC                        ,6.0355e+15,980333946.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
13,14,81030,272,SEATTLE                 ,,KING,,81030,,11064 LAKE CITY WAY NE STE 6  ,SEATTLE                 ,WA,                         ,981256730.0,GREEN WORKS ENTERPRISES LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151013.0,11064 LAKE CITY WAY NE        ,STE 6                    ,GREEN WORKS ENTERPRISES LLC                  ,6.03549e+15,981256730.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
15,16,82607,641,SEATTLE                 ,,KING,,82607,,PO BOX 903                    ,MONROE                  ,WA,                         ,982720903.0,"FARNSWORTH,  FORREST  KELLY",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151024.0,300 NW 85TH ST                ,                         ,THE HEALING CORNER                           ,6.00623e+15,981173120.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
19,20,83676,239,EDGEWOOD                ,,PIERCE,,83676,,10217 123RD STREET CT E STE   ,PUYALLUP                ,WA,101,983742603.0,LK GROUP FEDERAL WAY 1 LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151030.0,2316 MERIDIAN AVE E           ,                         ,GREEN GREENS                                 ,6.03551e+15,983711036.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
20,21,84045,646,VANCOUVER               ,,CLARK,,84045,,212 NE 164TH AVE STE 11       ,VANCOUVER               ,WA,                         ,986840000.0,RWZ LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151012.0,212 NE 164TH AVE STE 11       ,                         ,THE HERBERY                                  ,6.03355e+15,986840000.0,,1,0,0,0,84045.0,3669504,1168113.0,3.09999856,2,True,15.11556706,13.97090018
23,24,85095,585,OLYMPIA                 ,,THURSTON,,85095,,4430 ROXANNA LOOP SE          ,LACEY                   ,WA,                         ,985035596.0,CD BEELS INVESTMENTS LLC.,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151013.0,1520 COOPER POINT RD SW STE   ,300,SPARKED RECREATIONAL MARIJUANA               ,6.03525e+15,985021050.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
