,License_Number,Reporting Period, Total_Sales , Excise_Tax_Due ,Sales_Booked,Sales_Booked_Timestamp
0,412618,6/1/2014 - 6/30/2014,"$3,240 ",$810 ,6/30/2014,1404086400
1,412047,6/1/2014 - 6/30/2014,"$1,920 ",$480 ,6/30/2014,1404086400
2,412194,6/1/2014 - 6/30/2014,"$1,100 ",$275 ,6/30/2014,1404086400
3,412119,7/1/2014 - 7/31/2014,"$17,981 ","$4,495 ",7/31/2014,1406764800
4,412618,7/1/2014 - 7/31/2014,"$18,035 ","$4,509 ",7/31/2014,1406764800
5,412053,7/1/2014 - 7/31/2014,$553 ,$138 ,7/31/2014,1406764800
6,412567,7/1/2014 - 7/31/2014,$238 ,$59 ,7/31/2014,1406764800
7,412240,7/1/2014 - 7/31/2014,"$2,395 ",$599 ,7/31/2014,1406764800
8,413113,7/1/2014 - 7/31/2014,$750 ,$188 ,7/31/2014,1406764800
9,412214,7/1/2014 - 7/31/2014,"$6,875 ","$1,719 ",7/31/2014,1406764800
10,412384,7/1/2014 - 7/31/2014,"$9,203 ","$2,301 ",7/31/2014,1406764800
11,412445,8/1/2014 - 8/31/2014,"$25,580 ","$6,395 ",8/31/2014,1409443200
12,412618,8/1/2014 - 8/31/2014,"$1,355 ",$339 ,8/31/2014,1409443200
13,412053,8/1/2014 - 8/31/2014,$40 ,$10 ,8/31/2014,1409443200
14,412194,8/1/2014 - 8/31/2014,"$1,296 ",$324 ,8/31/2014,1409443200
15,412240,8/1/2014 - 8/31/2014,$832 ,$208 ,8/31/2014,1409443200
16,412570,8/1/2014 - 8/31/2014,$10 ,$3 ,8/31/2014,1409443200
17,416840,8/1/2014 - 8/31/2014,"$18,400 ","$4,600 ",8/31/2014,1409443200
18,412096,8/1/2014 - 8/31/2014,$4 ,$1 ,8/31/2014,1409443200
19,412402,8/1/2014 - 8/31/2014,$11 ,$3 ,8/31/2014,1409443200
20,412214,8/1/2014 - 8/31/2014,"$1,211 ",$303 ,8/31/2014,1409443200
21,412037,8/1/2014 - 8/31/2014,$6 ,$1 ,8/31/2014,1409443200
22,412144,8/1/2014 - 8/31/2014,$258 ,$65 ,8/31/2014,1409443200
23,412994,8/1/2014 - 8/31/2014,"$5,219 ","$1,305 ",8/31/2014,1409443200
24,412084,8/1/2014 - 8/31/2014,$0.09 ,$0.02 ,8/31/2014,1409443200
25,412901,8/1/2014 - 8/31/2014,$240 ,$60 ,8/31/2014,1409443200
26,412624,9/1/2014 - 9/30/2014,$240 ,$60 ,9/30/2014,1412035200
