"","Group.1","License_Number","Total_Sales"
"1",72437,72437,522230
"2",84045,84045,3669504
"3",353260,353260,1754515
"4",400209,400209,494411
"5",402039,402039,2784688
"6",402107,402107,481498
"7",404933,404933,243310
"8",410332,410332,284725
"9",410798,410798,3176954
"10",412016,412016,23632
"11",412017,412017,10899
"12",412022,412022,21832
"13",412031,412031,171934.52
"14",412033,412033,40005
"15",412037,412037,218487
"16",412043,412043,32585
"17",412044,412044,77630.11
"18",412047,412047,42900
"19",412048,412048,464
"20",412050,412050,8
"21",412053,412053,2940621
"22",412056,412056,6545
"23",412060,412060,105493
"24",412061,412061,232996
"25",412063,412063,888694
"26",412064,412064,0.01
"27",412066,412066,862026
"28",412067,412067,197
"29",412068,412068,213524
"30",412069,412069,NA
"31",412070,412070,1768162
"32",412073,412073,66907
"33",412075,412075,352871
"34",412076,412076,89919
"35",412077,412077,750363
"36",412078,412078,111787.02
"37",412079,412079,577713
"38",412080,412080,11298.16
"39",412082,412082,469023
"40",412084,412084,741738.09
"41",412096,412096,542464
"42",412097,412097,NA
"43",412098,412098,12689
"44",412099,412099,103177.7
"45",412104,412104,268301
"46",412106,412106,389186
"47",412107,412107,576921
"48",412109,412109,425244.03
"49",412111,412111,510605.08
"50",412112,412112,677167
"51",412118,412118,NA
"52",412119,412119,40547
"53",412123,412123,54776.13
"54",412126,412126,89340
"55",412130,412130,11050.01
"56",412132,412132,462162.3
"57",412135,412135,945950.18
"58",412138,412138,317638
"59",412141,412141,677749
"60",412144,412144,117787.08
"61",412147,412147,564946
"62",412148,412148,594788.59
"63",412149,412149,6939285
"64",412154,412154,345852
"65",412155,412155,485037
"66",412158,412158,92072
"67",412162,412162,4935
"68",412169,412169,156436
"69",412179,412179,5667
"70",412180,412180,357043
"71",412192,412192,21345
"72",412194,412194,431723
"73",412196,412196,3175
"74",412198,412198,8892
"75",412200,412200,312923
"76",412205,412205,35345
"77",412208,412208,79966
"78",412213,412213,663895
"79",412214,412214,19618
"80",412217,412217,3018156
"81",412218,412218,166019
"82",412223,412223,267068
"83",412226,412226,33179
"84",412229,412229,895020
"85",412232,412232,88291.24
"86",412233,412233,102986
"87",412235,412235,NA
"88",412236,412236,916665
"89",412237,412237,74009
"90",412239,412239,379130
"91",412240,412240,2332200
"92",412242,412242,311156
"93",412246,412246,579218
"94",412249,412249,604718
"95",412251,412251,7089.02
"96",412252,412252,5181474
"97",412258,412258,2721682
"98",412262,412262,67109
"99",412268,412268,262493.3
"100",412273,412273,1654007.75
"101",412274,412274,409886
"102",412275,412275,94921
"103",412279,412279,20
"104",412282,412282,8056
"105",412284,412284,2903
"106",412285,412285,3160
"107",412286,412286,NA
"108",412295,412295,770545.19
"109",412299,412299,469203
"110",412300,412300,11824
"111",412301,412301,113540
"112",412303,412303,0.05
"113",412304,412304,85300
"114",412311,412311,249784.22
"115",412312,412312,42449
"116",412316,412316,975
"117",412324,412324,4
"118",412337,412337,205582.04
"119",412340,412340,9818
"120",412346,412346,1269518
"121",412347,412347,548617
"122",412352,412352,79014
"123",412357,412357,48248.89
"124",412358,412358,24355.75
"125",412362,412362,27223
"126",412365,412365,16029
"127",412370,412370,2082128
"128",412373,412373,NA
"129",412377,412377,33065
"130",412384,412384,169435
"131",412392,412392,278495.03
"132",412396,412396,49377
"133",412400,412400,237772
"134",412402,412402,449529.93
"135",412403,412403,134981
"136",412408,412408,615692.48
"137",412409,412409,188269.5
"138",412422,412422,302218
"139",412425,412425,1076287.12
"140",412426,412426,125592
"141",412428,412428,18347
"142",412431,412431,222425.07
"143",412435,412435,1453
"144",412436,412436,287539
"145",412437,412437,2000
"146",412438,412438,119534
"147",412439,412439,6122.01
"148",412441,412441,100675
"149",412445,412445,46103
"150",412449,412449,38820
"151",412452,412452,142987
"152",412466,412466,794995
"153",412490,412490,991257
"154",412494,412494,3299499
"155",412495,412495,1243614
"156",412497,412497,5260.03
"157",412515,412515,481512.5
"158",412516,412516,6024
"159",412524,412524,353673
"160",412525,412525,11
"161",412527,412527,199219
"162",412529,412529,400
"163",412538,412538,7290
"164",412540,412540,16327
"165",412544,412544,162427
"166",412552,412552,10901
"167",412566,412566,408536.01
"168",412567,412567,455756.13
"169",412570,412570,29340.1
"170",412573,412573,14859
"171",412576,412576,118109
"172",412582,412582,15887
"173",412585,412585,23377
"174",412587,412587,46123
"175",412589,412589,79305
"176",412591,412591,19338
"177",412593,412593,74357
"178",412594,412594,8337
"179",412595,412595,990
"180",412596,412596,31148
"181",412597,412597,144104.24
"182",412598,412598,2014916
"183",412599,412599,333320
"184",412600,412600,18293
"185",412601,412601,268595
"186",412603,412603,31058
"187",412604,412604,2349
"188",412609,412609,146302
"189",412612,412612,212787.01
"190",412615,412615,195277.05
"191",412616,412616,173204
"192",412617,412617,186532
"193",412618,412618,2081072
"194",412623,412623,815453
"195",412624,412624,39810.8
"196",412627,412627,255248
"197",412633,412633,149.6
"198",412634,412634,106408
"199",412645,412645,61157
"200",412648,412648,93173
"201",412652,412652,49212
"202",412653,412653,276461
"203",412656,412656,371959
"204",412666,412666,4150
"205",412670,412670,114695
"206",412672,412672,1415315
"207",412678,412678,162041
"208",412679,412679,254336
"209",412681,412681,209000.05
"210",412682,412682,5525
"211",412686,412686,121465
"212",412687,412687,NA
"213",412688,412688,559374
"214",412691,412691,92936
"215",412692,412692,34027
"216",412697,412697,5000
"217",412703,412703,19335
"218",412717,412717,170
"219",412719,412719,4
"220",412720,412720,1332405.06
"221",412723,412723,180694
"222",412724,412724,1721245
"223",412729,412729,1587
"224",412743,412743,33332
"225",412753,412753,16514
"226",412754,412754,23085
"227",412759,412759,2669428
"228",412762,412762,402498
"229",412764,412764,101854.58
"230",412778,412778,12065
"231",412779,412779,6.08
"232",412782,412782,219567.18
"233",412784,412784,1142133
"234",412785,412785,369569
"235",412792,412792,2929460
"236",412803,412803,1.68
"237",412808,412808,311731
"238",412815,412815,290390
"239",412819,412819,162848
"240",412820,412820,1659
"241",412826,412826,8104
"242",412830,412830,56748
"243",412831,412831,335022
"244",412841,412841,40604
"245",412844,412844,44682
"246",412854,412854,11019.37
"247",412855,412855,4534
"248",412856,412856,36440
"249",412858,412858,20997
"250",412860,412860,17129
"251",412862,412862,13066
"252",412866,412866,636911.15
"253",412875,412875,41586
"254",412882,412882,4423531
"255",412891,412891,170387
"256",412901,412901,397644.28
"257",412904,412904,74174
"258",412921,412921,1943466
"259",412923,412923,331392
"260",412942,412942,108877
"261",412943,412943,262972
"262",412947,412947,4138
"263",412950,412950,16395
"264",412952,412952,131566
