"","Group.1","License_Number","Total_Sales","Excise_Tax_Due","tax_rate"
"1",72437,72437,522230,189634,2.10000362130483
"2",84045,84045,3669504,1168113,3.09999856024705
"3",353260,353260,1754515,506166,4.84998758975703
"4",400209,400209,494411,152800,3.85003146560664
"5",402039,402039,2784688,880847,3.10000636180027
"6",402107,402107,481498,159523,2.59999494033954
"7",404933,404933,243310,90025,1.48001673999116
"8",410332,410332,284725,104882,2.10000662380368
"9",410798,410798,3176954,935966,4.59998427604357
"10",412016,412016,23632,NA,NA
"11",412017,412017,10899,NA,NA
"12",412022,412022,21832,5458,0.5
"13",412031,412031,171934.52,NA,NA
"14",412033,412033,40005,NA,NA
"15",412037,412037,218487,NA,NA
"16",412043,412043,32585,8147,0.750058540344988
"17",412044,412044,77630.11,NA,NA
"18",412047,412047,42900,10725,1.00027666083691
"19",412048,412048,464,116,0.25
"20",412050,412050,8,NA,NA
"21",412053,412053,2940621,NA,NA
"22",412056,412056,6545,NA,NA
"23",412060,412060,105493,NA,NA
"24",412061,412061,232996,NA,NA
"25",412063,412063,888694,NA,NA
"26",412064,412064,0.01,NA,NA
"27",412066,412066,862026,253619,4.59999771127463
"28",412067,412067,197,NA,NA
"29",412068,412068,213524,NA,NA
"30",412069,412069,NA,NA,NA
"31",412070,412070,1768162,NA,NA
"32",412073,412073,66907,NA,NA
"33",412075,412075,352871,88219,2.50004369877631
"34",412076,412076,89919,NA,NA
"35",412077,412077,750363,NA,NA
"36",412078,412078,111787.02,NA,NA
"37",412079,412079,577713,NA,NA
"38",412080,412080,11298.16,NA,NA
"39",412082,412082,469023,NA,NA
"40",412084,412084,741738.09,NA,NA
"41",412096,412096,542464,NA,NA
"42",412097,412097,NA,NA,NA
"43",412098,412098,12689,NA,NA
"44",412099,412099,103177.7,NA,NA
"45",412104,412104,268301,NA,NA
"46",412106,412106,389186,NA,NA
"47",412107,412107,576921,NA,NA
"48",412109,412109,425244.03,NA,NA
"49",412111,412111,510605.08,NA,NA
"50",412112,412112,677167,NA,NA
"51",412118,412118,NA,NA,NA
"52",412119,412119,40547,NA,NA
"53",412123,412123,54776.13,NA,NA
"54",412126,412126,89340,NA,NA
"55",412130,412130,11050.01,NA,NA
"56",412132,412132,462162.3,NA,NA
"57",412135,412135,945950.18,NA,NA
"58",412138,412138,317638,NA,NA
"59",412141,412141,677749,NA,NA
"60",412144,412144,117787.08,29446.02,3.25161795406535
"61",412147,412147,564946,NA,NA
"62",412148,412148,594788.59,NA,NA
"63",412149,412149,6939285,NA,NA
"64",412154,412154,345852,NA,NA
"65",412155,412155,485037,NA,NA
"66",412158,412158,92072,NA,NA
"67",412162,412162,4935,1234,0.749514583776879
"68",412169,412169,156436,NA,NA
"69",412179,412179,5667,NA,NA
"70",412180,412180,357043,NA,NA
"71",412192,412192,21345,NA,NA
"72",412194,412194,431723,NA,NA
"73",412196,412196,3175,NA,NA
"74",412198,412198,8892,NA,NA
"75",412200,412200,312923,NA,NA
"76",412205,412205,35345,8837,1.25010855428471
"77",412208,412208,79966,NA,NA
"78",412213,412213,663895,NA,NA
"79",412214,412214,19618,NA,NA
"80",412217,412217,3018156,NA,NA
"81",412218,412218,166019,NA,NA
"82",412223,412223,267068,NA,NA
"83",412226,412226,33179,NA,NA
"84",412229,412229,895020,NA,NA
"85",412232,412232,88291.24,NA,NA
"86",412233,412233,102986,NA,NA
"87",412235,412235,NA,NA,NA
"88",412236,412236,916665,NA,NA
"89",412237,412237,74009,NA,NA
"90",412239,412239,379130,NA,NA
"91",412240,412240,2332200,NA,NA
"92",412242,412242,311156,NA,NA
"93",412246,412246,579218,NA,NA
"94",412249,412249,604718,NA,NA
"95",412251,412251,7089.02,NA,NA
"96",412252,412252,5181474,NA,NA
"97",412258,412258,2721682,NA,NA
"98",412262,412262,67109,NA,NA
"99",412268,412268,262493.3,NA,NA
"100",412273,412273,1654007.75,NA,NA
"101",412274,412274,409886,NA,NA
"102",412275,412275,94921,NA,NA
"103",412279,412279,20,NA,NA
"104",412282,412282,8056,2014,0.5
"105",412284,412284,2903,726,0.500091810503122
"106",412285,412285,3160,NA,NA
"107",412286,412286,NA,NA,NA
"108",412295,412295,770545.19,NA,NA
"109",412299,412299,469203,NA,NA
"110",412300,412300,11824,NA,NA
"111",412301,412301,113540,NA,NA
"112",412303,412303,0.05,NA,NA
"113",412304,412304,85300,NA,NA
"114",412311,412311,249784.22,NA,NA
"115",412312,412312,42449,NA,NA
"116",412316,412316,975,NA,NA
"117",412324,412324,4,NA,NA
"118",412337,412337,205582.04,NA,NA
"119",412340,412340,9818,NA,NA
"120",412346,412346,1269518,NA,NA
"121",412347,412347,548617,NA,NA
"122",412352,412352,79014,NA,NA
"123",412357,412357,48248.89,NA,NA
"124",412358,412358,24355.75,NA,NA
"125",412362,412362,27223,NA,NA
"126",412365,412365,16029,NA,NA
"127",412370,412370,2082128,615307,4.35002388942093
"128",412373,412373,NA,NA,NA
"129",412377,412377,33065,NA,NA
"130",412384,412384,169435,NA,NA
"131",412392,412392,278495.03,NA,NA
"132",412396,412396,49377,NA,NA
"133",412400,412400,237772,NA,NA
"134",412402,412402,449529.93,NA,NA
"135",412403,412403,134981,NA,NA
"136",412408,412408,615692.48,NA,NA
"137",412409,412409,188269.5,NA,NA
"138",412422,412422,302218,NA,NA
"139",412425,412425,1076287.12,NA,NA
"140",412426,412426,125592,NA,NA
"141",412428,412428,18347,NA,NA
"142",412431,412431,222425.07,NA,NA
"143",412435,412435,1453,NA,NA
"144",412436,412436,287539,NA,NA
"145",412437,412437,2000,NA,NA
"146",412438,412438,119534,NA,NA
"147",412439,412439,6122.01,NA,NA
"148",412441,412441,100675,NA,NA
"149",412445,412445,46103,11526,2.58580010554533
"150",412449,412449,38820,NA,NA
"151",412452,412452,142987,NA,NA
"152",412466,412466,794995,228384,3.98000696179847
"153",412490,412490,991257,332613,3.09995434172293
"154",412494,412494,3299499,1050371,3.84998908695316
"155",412495,412495,1243614,371823,4.34998703806873
"156",412497,412497,5260.03,NA,NA
"157",412515,412515,481512.5,NA,NA
"158",412516,412516,6024,NA,NA
"159",412524,412524,353673,NA,NA
"160",412525,412525,11,NA,NA
"161",412527,412527,199219,NA,NA
"162",412529,412529,400,NA,NA
"163",412538,412538,7290,NA,NA
"164",412540,412540,16327,NA,NA
"165",412544,412544,162427,NA,NA
"166",412552,412552,10901,NA,NA
"167",412566,412566,408536.01,NA,NA
"168",412567,412567,455756.13,NA,NA
"169",412570,412570,29340.1,NA,NA
"170",412573,412573,14859,NA,NA
"171",412576,412576,118109,NA,NA
"172",412582,412582,15887,NA,NA
"173",412585,412585,23377,NA,NA
"174",412587,412587,46123,NA,NA
"175",412589,412589,79305,NA,NA
"176",412591,412591,19338,NA,NA
"177",412593,412593,74357,NA,NA
"178",412594,412594,8337,NA,NA
"179",412595,412595,990,248,0.250505050505051
